t,condition,a1,a2,o1,o2,alpha,phi,w11,w12,w21,w22
0,A0,0.0,0.1,0.0,0.09966799462495582,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
1,A0,0.021781071173208304,0.1074493974536177,0.021777627403977512,0.10703778378462248,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
2,A0,0.046869514601354814,0.11063536856993865,0.046835224507840875,0.11018616863976179,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
3,A0,0.074571475651595,0.10855356436496011,0.07443355413406107,0.10812917072751052,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
4,A0,0.10387496753104843,0.1003047341243318,0.1035029690546635,0.09996969243655074,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
5,A0,0.13343078383136658,0.08515549763241381,0.13264452552650913,0.08495025906323395,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
6,A0,0.16156522505321091,0.0625949616235357,0.16017395361052206,0.06251333783010979,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
7,A0,0.18634068372352364,0.0323901389921863,0.18421346420050583,0.03237881668409283,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
8,A0,0.205671551023218,-0.005350586553429369,0.20281977151160666,-0.0053505354937652795,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
9,A0,0.21748528128577946,-0.050091744218131826,0.21411993228742257,-0.050049889777488143,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
10,A0,0.21989925229367974,-0.10075041663827825,0.21642203475195573,-0.10041090113930497,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
11,A0,0.21137538007840406,-0.15554636797813343,0.20828258975573544,-0.15430392630013387,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
12,A0,0.19082288190758856,-0.21186823209142097,0.18853995950104202,-0.208754012610631,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
13,A0,0.1576395621992122,-0.26625493216534135,0.15634661944239137,-0.26013661497642865,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
14,A0,0.11170382196742107,-0.31461372829462747,0.11124152530589482,-0.3046285393801388,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
15,A0,0.05335412825672502,-0.35272218244143383,0.05330355876336213,-0.33878750137124536,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
16,A0,-0.016572214730707184,-0.3768864983760952,-0.016570697775719612,-0.3600005197922409,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
17,A0,-0.09653759435593866,-0.38448562681753434,-0.09623881383529437,-0.36659662647193625,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
18,A0,-0.1838671465223603,-0.37418634045465876,-0.1818227810355687,-0.35764802230058623,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
19,A0,-0.27417733643711606,-0.3458358893618093,-0.2675075567265489,-0.332677438017976,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
20,A0,-0.3610948216142381,-0.30019054001836265,-0.3461780181490449,-0.29148697298481197,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
21,A0,-0.43690573017252526,-0.23859185338658545,-0.41107632846008074,-0.234165255940299,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
22,A0,-0.49434398767437976,-0.16261221015365954,-0.4576573900720936,-0.1611939061616656,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
23,A0,-0.5286148973348002,-0.0737640998178576,-0.48432159930862634,-0.07363060336869662,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
24,A0,-0.5382251106169279,0.026462650011923716,-0.4916432661236209,0.02645647472541475,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
25,A0,-0.5242457475415309,0.13596389984821436,-0.4809702392737243,0.13513223125595603,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
26,A0,-0.48898984914561977,0.2507918809131201,-0.4534143208866122,0.2456628977231931,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
27,A0,-0.4351275921560814,0.36393006669533057,-0.4095975875419432,0.3486710360943449,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
28,A0,-0.36537893095635426,0.46540483852453146,-0.3499431162505428,0.43447904507471247,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
29,A0,-0.28231488037862884,0.5448754911291315,-0.2750461987120901,0.49666965408470437,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
30,A0,-0.1879796148084553,0.5955538296754705,-0.1857962995179513,0.5338782193761521,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
